Prefix,CardScheme,ProductType,FundingType,CountryCode,ValidFrom,ValidTo
620001,UnionPay,Consumer,Debit,CN,2024-05-01,
62998877,UnionPay,Commercial,Credit,CN,2024-05-01,
222100,Mastercard,Consumer,Credit,DE,2024-05-01,
424242,Visa,Consumer,Credit,GB,2024-05-01,
353011,Diners Club,Consumer,Credit,JP,2024-05-01,
650000,Mastercard,Prepaid,Debit,SE,2024-05-01,2027-12-31
400001,Visa,Consumer,Credit,US,2024-01-01,
400004,Visa,Prepaid,Debit,DE,2024-01-01,
400002,Mastercard,Commercial,Debit,BG,2024-01-01,
456123,American Express,Consumer,Credit,US,2024-01-01,
12345,Visa,Consumer,Credit,US,2024-05-01,
40A001,Visa,Consumer,Credit,US,2024-05-01,
700000,,Consumer,Credit,DE,2024-05-01,
700001,Visa,,Credit,FR,2024-05-01,
700002,Visa,Consumer,,IT,2024-05-01,
700003,Visa,Consumer,Credit,USA,2024-05-01,
700004,Visa,Consumer,Credit,ES,2024-13-99,
700005,Mastercard,Commercial,Debit,GB,2024-06-01,2023-06-01
700006,Discover,Consumer,Credit,US,2024-05-01,
700007,Visa,Consumer,Credit,ZZ,2024-05-01,
620001,UnionPay,Consumer,Debit,CN,2024-05-01,
