Prefix,CardScheme,ProductType,FundingType,CountryCode,ValidFrom,ValidTo
400010,Visa,Consumer,Credit,US,2024-01-01,
400011,Visa,Commercial,Debit,BG,2024-01-01,2026-12-31
520055,Mastercard,Consumer,Credit,DE,2024-01-01,
543210,Mastercard,Prepaid,Debit,FR,2024-01-01,
222155,Mastercard,Commercial,Credit,GB,2024-01-01,
340088,American Express,Consumer,Credit,US,2024-01-01,
370055,American Express,Commercial,Credit,CA,2024-01-01,
301234,Diners Club,Consumer,Credit,JP,2024-01-01,
360099,Diners Club,Consumer,Debit,IT,2024-01-01,
400099,Mastercard,Consumer,Credit,US,2024-01-01,
400100,American Express,Consumer,Credit,BG,2024-01-01,
520099,Visa,Consumer,Debit,DE,2024-01-01,
551122,Visa,Commercial,Credit,FR,2024-01-01,
340099,Visa,Consumer,Credit,US,2024-01-01,
370088,Mastercard,Commercial,Credit,CA,2024-01-01,
360088,Mastercard,Consumer,Credit,JP,2024-01-01,
301122,American Express,Consumer,Credit,ES,2024-01-01,
999900,Visa,Consumer,Credit,GB,2024-01-01,
888800,Mastercard,Commercial,Debit,BG,2024-01-01,
