Prefix,CardScheme,ProductType,FundingType,CountryCode,ValidFrom,ValidTo
400001,Visa,Consumer,Credit,US,2024-01-01,
400002,Mastercard,Commercial,Debit,BG,2024-01-01,2026-12-31
12345,Visa,Consumer,Credit,US,2024-01-01,
40A001,Visa,Consumer,Credit,US,2024-01-01,
400003,,Consumer,Credit,DE,2024-01-01,
400004,Visa,,Credit,FR,2024-01-01,
400005,Visa,Consumer,,IT,2024-01-01,
400006,Visa,Consumer,Credit,USA,2024-01-01,
400007,Visa,Consumer,Credit,ES,2024-13-99,
400008,Mastercard,Commercial,Debit,GB,2024-06-01,2023-06-01
400001,Diners Club,Consumer,Credit,JP,2024-02-01,
340000,American Express,Consumer,Credit,CA,2024-03-01,2027-01-01
520000,Visa,Prepaid,Debit,NL,2024-04-01,
